# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	16071	17276	+	WP_114523798.1	WP_114523798.1		class C sortase			EGCR1_RS00065	1206	401	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	17273	18142	+							EGCR1_RS00070	870		old_locus_tag=EGCR1_00070
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	17273	18142	+	WP_114523799.1	WP_114523799.1		hypothetical protein			EGCR1_RS00070	870	289	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	18139	20781	+							EGCR1_RS00075	2643		old_locus_tag=EGCR1_00075
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	18139	20781	+	WP_114523800.1	WP_114523800.1		LPXTG cell wall anchor domain-containing protein			EGCR1_RS00075	2643	880	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	20805	21113	+							EGCR1_RS00080	309		old_locus_tag=EGCR1_00080
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	20805	21113	+	WP_114523801.1	WP_114523801.1		DUF2089 family protein			EGCR1_RS00080	309	102	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	22225	23430	+							EGCR1_RS00085	1206		old_locus_tag=EGCR1_00085
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	22225	23430	+	WP_114523802.1	WP_114523802.1		glycine C-acetyltransferase			EGCR1_RS00085	1206	401	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	23469	24470	+							EGCR1_RS00090	1002		old_locus_tag=EGCR1_00090
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	23469	24470	+	WP_010781958.1	WP_010781958.1		NAD-dependent epimerase/dehydratase family protein			EGCR1_RS00090	1002	333	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	24717	26066	+							EGCR1_RS00095	1350		old_locus_tag=EGCR1_00095
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	24717	26066	+	WP_086306031.1	WP_086306031.1		amino acid permease			EGCR1_RS00095	1350	449	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	26108	26542	-							EGCR1_RS00100	435		old_locus_tag=EGCR1_00100
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	26108	26542	-	WP_086306032.1	WP_086306032.1		acyl-CoA thioesterase			EGCR1_RS00100	435	144	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	26547	27386	-							EGCR1_RS00105	840		old_locus_tag=EGCR1_00105
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	26547	27386	-	WP_010781955.1	WP_010781955.1		NAD(P)H-hydrate dehydratase			EGCR1_RS00105	840	279	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	27686	29098	+					pepV		EGCR1_RS00110	1413		old_locus_tag=EGCR1_00110
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	27686	29098	+	WP_114523803.1	WP_114523803.1		dipeptidase PepV	pepV		EGCR1_RS00110	1413	470	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	29232	30155	+							EGCR1_RS00115	924		old_locus_tag=EGCR1_00115
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	29232	30155	+	WP_114523804.1	WP_114523804.1		nucleoside hydrolase			EGCR1_RS00115	924	307	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	30361	31254	+							EGCR1_RS00120	894		old_locus_tag=EGCR1_00120
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	30361	31254	+	WP_114523805.1	WP_114523805.1		SDR family oxidoreductase			EGCR1_RS00120	894	297	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	31297	31632	-							EGCR1_RS00125	336		old_locus_tag=EGCR1_00125
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	31297	31632	-	WP_114523806.1	WP_114523806.1		hypothetical protein			EGCR1_RS00125	336	111	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	31923	32240	+							EGCR1_RS00130	318		old_locus_tag=EGCR1_00130
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	31923	32240	+	WP_114523807.1	WP_114523807.1		thioredoxin family protein			EGCR1_RS00130	318	105	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	32250	32705	+							EGCR1_RS00135	456		old_locus_tag=EGCR1_00135
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	32250	32705	+	WP_114523808.1	WP_114523808.1		universal stress protein			EGCR1_RS00135	456	151	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	32916	33527	+							EGCR1_RS00140	612		old_locus_tag=EGCR1_00140
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	32916	33527	+	WP_114523809.1	WP_114523809.1		DUF4479 domain-containing tRNA-binding protein			EGCR1_RS00140	612	203	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	33605	34057	-							EGCR1_RS00145	453		old_locus_tag=EGCR1_00145
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	33605	34057	-	WP_114523810.1	WP_114523810.1		MarR family transcriptional regulator			EGCR1_RS00145	453	150	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	34258	35604	+							EGCR1_RS00150	1347		old_locus_tag=EGCR1_00150
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	34258	35604	+	WP_114523811.1	WP_114523811.1		NAD(P)/FAD-dependent oxidoreductase			EGCR1_RS00150	1347	448	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	35717	37018	-							EGCR1_RS00155	1302		old_locus_tag=EGCR1_00155
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	35717	37018	-	WP_114523812.1	WP_114523812.1		trypsin-like peptidase domain-containing protein			EGCR1_RS00155	1302	433	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	37435	37914	+					rlmH		EGCR1_RS00160	480		old_locus_tag=EGCR1_00160
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	37435	37914	+	WP_114523813.1	WP_114523813.1		23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	rlmH		EGCR1_RS00160	480	159	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	38180	39547	+							EGCR1_RS00165	1368		old_locus_tag=EGCR1_00165
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	38180	39547	+	WP_114523814.1	WP_114523814.1		multidrug efflux MFS transporter			EGCR1_RS00165	1368	455	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	39780	40943	+							EGCR1_RS00170	1164		old_locus_tag=EGCR1_00170
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	39780	40943	+	WP_114523815.1	WP_114523815.1		cupin domain-containing protein			EGCR1_RS00170	1164	387	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	41012	41713	+							EGCR1_RS00175	702		old_locus_tag=EGCR1_00175
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	41012	41713	+	WP_114523816.1	WP_114523816.1		DUF1275 domain-containing protein			EGCR1_RS00175	702	233	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	41726	43063	+							EGCR1_RS00180	1338		old_locus_tag=EGCR1_00180
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	41726	43063	+	WP_114523817.1	WP_114523817.1		NAD(P)/FAD-dependent oxidoreductase			EGCR1_RS00180	1338	445	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	43151	43558	-							EGCR1_RS00185	408		old_locus_tag=EGCR1_00185
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	43151	43558	-	WP_114523818.1	WP_114523818.1		hypothetical protein			EGCR1_RS00185	408	135	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	43703	43861	-							EGCR1_RS19220	159		
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	43703	43861	-	WP_010781915.1	WP_010781915.1		hypothetical protein			EGCR1_RS19220	159	52	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	43901	44047	-							EGCR1_RS19345	147		
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	43901	44047	-	WP_176281393.1	WP_176281393.1		hypothetical protein			EGCR1_RS19345	147	48	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	44691	45800	+							EGCR1_RS00190	1110		old_locus_tag=EGCR1_00190
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	44691	45800	+	WP_114523819.1	WP_114523819.1		site-specific integrase			EGCR1_RS00190	1110	369	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	46176	48542	+							EGCR1_RS00195	2367		old_locus_tag=EGCR1_00195
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	46176	48542	+	WP_114523820.1	WP_114523820.1		leucine-rich repeat domain-containing protein			EGCR1_RS00195	2367	788	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	48899	50932	+							EGCR1_RS00200	2034		old_locus_tag=EGCR1_00200
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	48899	50932	+	WP_114523821.1	WP_114523821.1		alpha/beta hydrolase			EGCR1_RS00200	2034	677	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	51492	52790	+							EGCR1_RS00205	1299		old_locus_tag=EGCR1_00205
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	51492	52790	+	WP_114523822.1	WP_114523822.1		GHKL domain-containing protein			EGCR1_RS00205	1299	432	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	52771	53499	+							EGCR1_RS00210	729		old_locus_tag=EGCR1_00210
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	52771	53499	+	WP_114523823.1	WP_114523823.1		response regulator			EGCR1_RS00210	729	242	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	53731	54003	+							EGCR1_RS00215	273		old_locus_tag=EGCR1_00215
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	53731	54003	+	WP_114523824.1	WP_114523824.1		hypothetical protein			EGCR1_RS00215	273	90	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	54213	54968	+							EGCR1_RS00220	756		old_locus_tag=EGCR1_00220
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	54213	54968	+	WP_162787330.1	WP_162787330.1		hypothetical protein			EGCR1_RS00220	756	251	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	54983	55702	+							EGCR1_RS00225	720		old_locus_tag=EGCR1_00225
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	54983	55702	+	WP_114523826.1	WP_114523826.1		LytTR family DNA-binding domain-containing protein			EGCR1_RS00225	720	239	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	56047	58107	+							EGCR1_RS00230	2061		old_locus_tag=EGCR1_00230
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	56047	58107	+	WP_114523827.1	WP_114523827.1		SpaH/EbpB family LPXTG-anchored major pilin			EGCR1_RS00230	2061	686	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	58228	59109	+							EGCR1_RS00235	882		old_locus_tag=EGCR1_00235
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	58228	59109	+	WP_240318377.1	WP_240318377.1		class C sortase			EGCR1_RS00235	882	293	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	59122	60339	+							EGCR1_RS00240	1218		old_locus_tag=EGCR1_00240
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	59122	60339	+	WP_162787331.1	WP_162787331.1		pilin N-terminal domain-containing protein			EGCR1_RS00240	1218	405	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	60339	65024	+							EGCR1_RS00245	4686		old_locus_tag=EGCR1_00245
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	60339	65024	+	WP_114523829.1	WP_114523829.1		prealbumin-like fold domain-containing protein			EGCR1_RS00245	4686	1561	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	65099	66001	+							EGCR1_RS00250	903		old_locus_tag=EGCR1_00250
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	65099	66001	+	WP_240318378.1	WP_240318378.1		class C sortase			EGCR1_RS00250	903	300	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	66098	66829	+							EGCR1_RS00255	732		old_locus_tag=EGCR1_00255
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	66098	66829	+	WP_240318379.1	WP_240318379.1		helix-turn-helix domain-containing protein			EGCR1_RS00255	732	243	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	67619	68098	+							EGCR1_RS00260	480		old_locus_tag=EGCR1_00260
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	67619	68098	+	WP_114523831.1	WP_114523831.1		permease			EGCR1_RS00260	480	159	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	68095	68628	+							EGCR1_RS00265	534		old_locus_tag=EGCR1_00265
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	68095	68628	+	WP_114523832.1	WP_114523832.1		permease			EGCR1_RS00265	534	177	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	68815	69390	-							EGCR1_RS00270	576		old_locus_tag=EGCR1_00270
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	68815	69390	-	WP_114523833.1	WP_114523833.1		hypothetical protein			EGCR1_RS00270	576	191	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	69447	69854	-							EGCR1_RS00275	408		old_locus_tag=EGCR1_00275
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	69447	69854	-	WP_114523834.1	WP_114523834.1		hypothetical protein			EGCR1_RS00275	408	135	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	70271	70621	-							EGCR1_RS00280	351		old_locus_tag=EGCR1_00280
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	70271	70621	-	WP_114523835.1	WP_114523835.1		hypothetical protein			EGCR1_RS00280	351	116	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	70781	71233	-							EGCR1_RS00285	453		old_locus_tag=EGCR1_00285
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	70781	71233	-	WP_114523836.1	WP_114523836.1		DUF2188 domain-containing protein			EGCR1_RS00285	453	150	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	71399	72730	+							EGCR1_RS00290	1332		old_locus_tag=EGCR1_00290
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	71399	72730	+	WP_205242175.1	WP_205242175.1		FAD-containing oxidoreductase			EGCR1_RS00290	1332	443	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	72830	72997	-							EGCR1_RS19350	168		
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	72830	72997	-	WP_010781910.1	WP_010781910.1		hypothetical protein			EGCR1_RS19350	168	55	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	73181	74473	+							EGCR1_RS00295	1293		old_locus_tag=EGCR1_00295
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	73181	74473	+	WP_010781909.1	WP_010781909.1		L-lactate permease			EGCR1_RS00295	1293	430	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	74546	75682	+							EGCR1_RS00300	1137		old_locus_tag=EGCR1_00300
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	74546	75682	+	WP_114523838.1	WP_114523838.1		glycerate kinase			EGCR1_RS00300	1137	378	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	75761	76771	+							EGCR1_RS00305	1011		old_locus_tag=EGCR1_00305
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	75761	76771	+	WP_114523839.1	WP_114523839.1		helix-turn-helix domain-containing protein			EGCR1_RS00305	1011	336	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	77187	79445	+							EGCR1_RS00310	2259		old_locus_tag=EGCR1_00310
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	77187	79445	+	WP_114523840.1	WP_114523840.1		hypothetical protein			EGCR1_RS00310	2259	752	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	79459	79824	+							EGCR1_RS00315	366		old_locus_tag=EGCR1_00315
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	79459	79824	+	WP_162787332.1	WP_162787332.1		LPXTG cell wall anchor domain-containing protein			EGCR1_RS00315	366	121	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	79799	80362	+							EGCR1_RS00320	564		old_locus_tag=EGCR1_00320
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	79799	80362	+	WP_114523842.1	WP_114523842.1		hypothetical protein			EGCR1_RS00320	564	187	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	80389	80991	+							EGCR1_RS00325	603		old_locus_tag=EGCR1_00325
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	80389	80991	+	WP_240318380.1	WP_240318380.1		hypothetical protein			EGCR1_RS00325	603	200	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	81019	82044	+							EGCR1_RS00330	1026		old_locus_tag=EGCR1_00330
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	81019	82044	+	WP_114523843.1	WP_114523843.1		DUF916 and DUF3324 domain-containing protein			EGCR1_RS00330	1026	341	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	82075	82968	-							EGCR1_RS00335	894		old_locus_tag=EGCR1_00335
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	82075	82968	-	WP_114523844.1	WP_114523844.1		zinc metallopeptidase			EGCR1_RS00335	894	297	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	83427	84818	+							EGCR1_RS00340	1392		old_locus_tag=EGCR1_00340
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	83427	84818	+	WP_114523845.1	WP_114523845.1		CHAP domain-containing protein			EGCR1_RS00340	1392	463	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	84894	86315	-							EGCR1_RS00345	1422		old_locus_tag=EGCR1_00345
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	84894	86315	-	WP_114523846.1	WP_114523846.1		MFS transporter			EGCR1_RS00345	1422	473	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	86519	88675	+							EGCR1_RS00350	2157		old_locus_tag=EGCR1_00350
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	86519	88675	+	WP_114523847.1	WP_114523847.1		ATP-dependent helicase			EGCR1_RS00350	2157	718	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	88691	89128	+							EGCR1_RS00355	438		old_locus_tag=EGCR1_00355
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	88691	89128	+	WP_114523848.1	WP_114523848.1		GNAT family N-acetyltransferase			EGCR1_RS00355	438	145	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	89154	89540	+							EGCR1_RS00360	387		old_locus_tag=EGCR1_00360
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	89154	89540	+	WP_114523849.1	WP_114523849.1		C-GCAxxG-C-C family protein			EGCR1_RS00360	387	128	
gene	protein_coding	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	89679	90125	+							EGCR1_RS00365	447		old_locus_tag=EGCR1_00365
CDS	with_protein	GCF_003343305.1	Primary Assembly	chromosome		NZ_CP030932.1	89679	90125	+	WP_114523850.1	WP_114523850.1		hypothetical protein			EGCR1_RS00365	447	148	
