# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	6207	8678	+	WP_002293127.1	WP_002293127.1		DNA gyrase subunit A	gyrA	66496265	KU781_RS00030	2472	823	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	8914	9213	+					rpsF	66496266	KU781_RS00035	300		old_locus_tag=KU781_00035
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	8914	9213	+	WP_002293129.1	WP_002293129.1		30S ribosomal protein S6	rpsF	66496266	KU781_RS00035	300	99	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	9264	9776	+					ssb	66496267	KU781_RS00040	513		old_locus_tag=KU781_00040
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	9264	9776	+	WP_002288368.1	WP_002288368.1		single-stranded DNA-binding protein	ssb	66496267	KU781_RS00040	513	170	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	9802	10038	+					rpsR	66496268	KU781_RS00045	237		old_locus_tag=KU781_00045
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	9802	10038	+	WP_002288370.1	WP_002288370.1		30S ribosomal protein S18	rpsR	66496268	KU781_RS00045	237	78	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	10181	12154	+						66496269	KU781_RS00050	1974		old_locus_tag=KU781_00050
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	10181	12154	+	WP_002319563.1	WP_002319563.1		DHH family phosphoesterase		66496269	KU781_RS00050	1974	657	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	12160	12612	+					rplI	66496270	KU781_RS00055	453		old_locus_tag=KU781_00055
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	12160	12612	+	WP_002293132.1	WP_002293132.1		50S ribosomal protein L9	rplI	66496270	KU781_RS00055	453	150	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	12887	14254	+					dnaB	66496271	KU781_RS00060	1368		old_locus_tag=KU781_00060
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	12887	14254	+	WP_002288373.1	WP_002288373.1		replicative DNA helicase	dnaB	66496271	KU781_RS00060	1368	455	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	14923	16215	+						66496272	KU781_RS00065	1293		old_locus_tag=KU781_00065
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	14923	16215	+	WP_002288375.1	WP_002288375.1		adenylosuccinate synthase		66496272	KU781_RS00065	1293	430	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	16877	17740	+						66496273	KU781_RS00070	864		old_locus_tag=KU781_00070
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	16877	17740	+	WP_002329773.1	WP_002329773.1		DegV family protein		66496273	KU781_RS00070	864	287	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	17869	19491	-						66496274	KU781_RS00075	1623		old_locus_tag=KU781_00075
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	17869	19491	-	WP_219273632.1	WP_219273632.1		ATP-binding cassette domain-containing protein		66496274	KU781_RS00075	1623	540	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	19741	20262	+						66496275	KU781_RS00080	522		old_locus_tag=KU781_00080
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	19741	20262	+	WP_002329772.1	WP_002329772.1		DUF308 domain-containing protein		66496275	KU781_RS00080	522	173	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	20693	22423	-					spxB	66496276	KU781_RS00085	1731		old_locus_tag=KU781_00085
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	20693	22423	-	WP_002329771.1	WP_002329771.1		pyruvate oxidase	spxB	66496276	KU781_RS00085	1731	576	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	22588	23406	+						66496277	KU781_RS00090	819		old_locus_tag=KU781_00090
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	22588	23406	+	WP_002292643.1	WP_002292643.1		ZIP family metal transporter		66496277	KU781_RS00090	819	272	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	23508	23705	-						66496278	KU781_RS00095	198		old_locus_tag=KU781_00095
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	23508	23705	-	WP_002292644.1	WP_002292644.1		hypothetical protein		66496278	KU781_RS00095	198	65	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	23874	24452	+						66496279	KU781_RS00100	579		old_locus_tag=KU781_00100
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	23874	24452	+	WP_002292646.1	WP_002292646.1		TMEM175 family protein		66496279	KU781_RS00100	579	192	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	24547	24684	+						66496280	KU781_RS00105	138		old_locus_tag=KU781_00105
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	24547	24684	+	WP_002329770.1	WP_002329770.1		hypothetical protein		66496280	KU781_RS00105	138	45	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	25604	26107	-						66496281	KU781_RS00110	504		old_locus_tag=KU781_00110
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	25604	26107	-	WP_002292649.1	WP_002292649.1		VanZ family protein		66496281	KU781_RS00110	504	167	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	26731	28716	+						66496282	KU781_RS00115	1986		old_locus_tag=KU781_00115
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	26731	28716	+	WP_002315483.1	WP_002315483.1		peptide ABC transporter substrate-binding protein		66496282	KU781_RS00115	1986	661	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	28798	30279	+						66496283	KU781_RS00120	1482		old_locus_tag=KU781_00120
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	28798	30279	+	WP_002329769.1	WP_002329769.1		ABC transporter permease		66496283	KU781_RS00120	1482	493	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	30305	31216	+						66496284	KU781_RS00125	912		old_locus_tag=KU781_00125
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	30305	31216	+	WP_047928056.1	WP_047928056.1		ABC transporter permease		66496284	KU781_RS00125	912	303	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	31227	32315	+						66496285	KU781_RS00130	1089		old_locus_tag=KU781_00130
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	31227	32315	+	WP_002292656.1	WP_002292656.1		ABC transporter ATP-binding protein		66496285	KU781_RS00130	1089	362	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	32305	33234	+						66496286	KU781_RS00135	930		old_locus_tag=KU781_00135
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	32305	33234	+	WP_002292658.1	WP_002292658.1		ATP-binding cassette domain-containing protein		66496286	KU781_RS00135	930	309	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	33399	33791	+						66496287	KU781_RS00140	393		old_locus_tag=KU781_00140
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	33399	33791	+	WP_229033439.1	WP_229033439.1		HIT domain-containing protein		66496287	KU781_RS00140	393	130	
gene	pseudogene	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	34067	35092	+						66496288	KU781_RS00145	1026		pseudo;old_locus_tag=KU781_00145
CDS	without_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	34067	35092	+				FUSC family protein		66496288	KU781_RS00145	1026		pseudo
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	35294	35671	-						66496289	KU781_RS00150	378		old_locus_tag=KU781_00150
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	35294	35671	-	WP_002329765.1	WP_002329765.1		NUDIX domain-containing protein		66496289	KU781_RS00150	378	125	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	35770	36198	-						66496290	KU781_RS00155	429		old_locus_tag=KU781_00155
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	35770	36198	-	WP_002329764.1	WP_002329764.1		hypothetical protein		66496290	KU781_RS00155	429	142	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	36543	37451	+						66496291	KU781_RS00160	909		old_locus_tag=KU781_00160
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	36543	37451	+	WP_086283465.1	WP_086283465.1		IS982 family transposase		66496291	KU781_RS00160	909	302	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	37989	39554	-					guaA	66496292	KU781_RS00165	1566		old_locus_tag=KU781_00165
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	37989	39554	-	WP_002291100.1	WP_002291100.1		glutamine-hydrolyzing GMP synthase	guaA	66496292	KU781_RS00165	1566	521	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	39613	40536	-					coaA	66496293	KU781_RS00170	924		old_locus_tag=KU781_00170
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	39613	40536	-	WP_002288627.1	WP_002288627.1		type I pantothenate kinase	coaA	66496293	KU781_RS00170	924	307	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	40732	41337	+						66496294	KU781_RS00175	606		old_locus_tag=KU781_00175
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	40732	41337	+	WP_002309852.1	WP_002309852.1		class I SAM-dependent methyltransferase		66496294	KU781_RS00175	606	201	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	41646	42662	+						66496295	KU781_RS00180	1017		old_locus_tag=KU781_00180
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	41646	42662	+	WP_002291103.1	WP_002291103.1		substrate-binding domain-containing protein		66496295	KU781_RS00180	1017	338	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	42803	44104	+						66496296	KU781_RS00185	1302		old_locus_tag=KU781_00185
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	42803	44104	+	WP_002291105.1	WP_002291105.1		pyrimidine-nucleoside phosphorylase		66496296	KU781_RS00185	1302	433	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	44151	44813	+					deoC	66496297	KU781_RS00190	663		old_locus_tag=KU781_00190
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	44151	44813	+	WP_002291107.1	WP_002291107.1		deoxyribose-phosphate aldolase	deoC	66496297	KU781_RS00190	663	220	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	44832	45230	+						66496298	KU781_RS00195	399		old_locus_tag=KU781_00195
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	44832	45230	+	WP_002291109.1	WP_002291109.1		cytidine deaminase		66496298	KU781_RS00195	399	132	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	45296	46378	+						66496299	KU781_RS00200	1083		old_locus_tag=KU781_00200
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	45296	46378	+	WP_002291111.1	WP_002291111.1		BMP family ABC transporter substrate-binding protein		66496299	KU781_RS00200	1083	360	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	46590	48152	+						66496300	KU781_RS00205	1563		old_locus_tag=KU781_00205
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	46590	48152	+	WP_002291113.1	WP_002291113.1		ABC transporter ATP-binding protein		66496300	KU781_RS00205	1563	520	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	48145	49278	+						66496301	KU781_RS00210	1134		old_locus_tag=KU781_00210
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	48145	49278	+	WP_002329762.1	WP_002329762.1		ABC transporter permease		66496301	KU781_RS00210	1134	377	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	49278	50234	+						66496302	KU781_RS00215	957		old_locus_tag=KU781_00215
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	49278	50234	+	WP_002291116.1	WP_002291116.1		ABC transporter permease		66496302	KU781_RS00215	957	318	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	50333	51499	+					deoB	66496303	KU781_RS00220	1167		old_locus_tag=KU781_00220
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	50333	51499	+	WP_002291118.1	WP_002291118.1		phosphopentomutase	deoB	66496303	KU781_RS00220	1167	388	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	51524	52342	+						66496304	KU781_RS00225	819		old_locus_tag=KU781_00225
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	51524	52342	+	WP_002291120.1	WP_002291120.1		purine-nucleoside phosphorylase		66496304	KU781_RS00225	819	272	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	52359	53066	+					deoD	66496305	KU781_RS00230	708		old_locus_tag=KU781_00230
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	52359	53066	+	WP_002291121.1	WP_002291121.1		purine-nucleoside phosphorylase	deoD	66496305	KU781_RS00230	708	235	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	53450	54316	-						66496306	KU781_RS00235	867		old_locus_tag=KU781_00235
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	53450	54316	-	WP_002291123.1	WP_002291123.1		carbohydrate binding domain-containing protein		66496306	KU781_RS00235	867	288	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	54855	55763	+						66496307	KU781_RS00240	909		old_locus_tag=KU781_00240
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	54855	55763	+	WP_002329247.1	WP_002329247.1		IS982 family transposase		66496307	KU781_RS00240	909	302	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	55918	56604	-					gpmA	66496308	KU781_RS00245	687		old_locus_tag=KU781_00245
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	55918	56604	-	WP_002290434.1	WP_002290434.1		2,3-diphosphoglycerate-dependent phosphoglycerate mutase	gpmA	66496308	KU781_RS00245	687	228	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	56775	57356	-						66496309	KU781_RS00250	582		old_locus_tag=KU781_00250
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	56775	57356	-	WP_002290435.1	WP_002290435.1		recombinase family protein		66496309	KU781_RS00250	582	193	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	57489	58172	-					rpiA	66496310	KU781_RS00255	684		old_locus_tag=KU781_00255
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	57489	58172	-	WP_002290438.1	WP_002290438.1		ribose-5-phosphate isomerase RpiA	rpiA	66496310	KU781_RS00255	684	227	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	58491	58904	+					rpsL	66496311	KU781_RS00260	414		old_locus_tag=KU781_00260
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	58491	58904	+	WP_002294318.1	WP_002294318.1		30S ribosomal protein S12	rpsL	66496311	KU781_RS00260	414	137	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	58988	59458	+					rpsG	66496312	KU781_RS00265	471		old_locus_tag=KU781_00265
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	58988	59458	+	WP_002290440.1	WP_002290440.1		30S ribosomal protein S7	rpsG	66496312	KU781_RS00265	471	156	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	59552	61639	+					fusA	66496313	KU781_RS00270	2088		old_locus_tag=KU781_00270
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	59552	61639	+	WP_002290441.1	WP_002290441.1		elongation factor G	fusA	66496313	KU781_RS00270	2088	695	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	61811	62998	+					tuf	66496314	KU781_RS00275	1188		old_locus_tag=KU781_00275
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	61811	62998	+	WP_002290442.1	WP_002290442.1		elongation factor Tu	tuf	66496314	KU781_RS00275	1188	395	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	63403	63711	+					rpsJ	66496315	KU781_RS00280	309		old_locus_tag=KU781_00280
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	63403	63711	+	WP_002290443.1	WP_002290443.1		30S ribosomal protein S10	rpsJ	66496315	KU781_RS00280	309	102	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	63742	64371	+					rplC	66496316	KU781_RS00285	630		old_locus_tag=KU781_00285
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	63742	64371	+	WP_002290445.1	WP_002290445.1		50S ribosomal protein L3	rplC	66496316	KU781_RS00285	630	209	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	64399	65022	+					rplD	66496317	KU781_RS00290	624		old_locus_tag=KU781_00290
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	64399	65022	+	WP_002290446.1	WP_002290446.1		50S ribosomal protein L4	rplD	66496317	KU781_RS00290	624	207	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	65022	65312	+					rplW	66496318	KU781_RS00295	291		old_locus_tag=KU781_00295
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	65022	65312	+	WP_002290449.1	WP_002290449.1		50S ribosomal protein L23	rplW	66496318	KU781_RS00295	291	96	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	65351	66184	+					rplB	66496319	KU781_RS00300	834		old_locus_tag=KU781_00300
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	65351	66184	+	WP_002290451.1	WP_002290451.1		50S ribosomal protein L2	rplB	66496319	KU781_RS00300	834	277	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	66227	66505	+					rpsS	66496320	KU781_RS00305	279		old_locus_tag=KU781_00305
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	66227	66505	+	WP_002288655.1	WP_002288655.1		30S ribosomal protein S19	rpsS	66496320	KU781_RS00305	279	92	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	66528	66875	+					rplV	66496321	KU781_RS00310	348		old_locus_tag=KU781_00310
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	66528	66875	+	WP_002290452.1	WP_002290452.1		50S ribosomal protein L22	rplV	66496321	KU781_RS00310	348	115	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	66889	67545	+					rpsC	66496322	KU781_RS00315	657		old_locus_tag=KU781_00315
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	66889	67545	+	WP_002288659.1	WP_002288659.1		30S ribosomal protein S3	rpsC	66496322	KU781_RS00315	657	218	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	67548	67982	+					rplP	66496323	KU781_RS00320	435		old_locus_tag=KU781_00320
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	67548	67982	+	WP_002288661.1	WP_002288661.1		50S ribosomal protein L16	rplP	66496323	KU781_RS00320	435	144	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	67972	68160	+					rpmC	66496324	KU781_RS00325	189		old_locus_tag=KU781_00325
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	67972	68160	+	WP_002288664.1	WP_002288664.1		50S ribosomal protein L29	rpmC	66496324	KU781_RS00325	189	62	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	68185	68451	+					rpsQ	66496325	KU781_RS00330	267		old_locus_tag=KU781_00330
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	68185	68451	+	WP_002288668.1	WP_002288668.1		30S ribosomal protein S17	rpsQ	66496325	KU781_RS00330	267	88	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	68509	68877	+					rplN	66496326	KU781_RS00335	369		old_locus_tag=KU781_00335
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	68509	68877	+	WP_002288669.1	WP_002288669.1		50S ribosomal protein L14	rplN	66496326	KU781_RS00335	369	122	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	68914	69222	+					rplX	66496327	KU781_RS00340	309		old_locus_tag=KU781_00340
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	68914	69222	+	WP_002288670.1	WP_002288670.1		50S ribosomal protein L24	rplX	66496327	KU781_RS00340	309	102	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	69250	69789	+					rplE	66496328	KU781_RS00345	540		old_locus_tag=KU781_00345
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	69250	69789	+	WP_002288671.1	WP_002288671.1		50S ribosomal protein L5	rplE	66496328	KU781_RS00345	540	179	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	69808	69993	+						66496329	KU781_RS00350	186		old_locus_tag=KU781_00350
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	69808	69993	+	WP_002288673.1	WP_002288673.1		type Z 30S ribosomal protein S14		66496329	KU781_RS00350	186	61	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	70029	70427	+					rpsH	66496330	KU781_RS00355	399		old_locus_tag=KU781_00355
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	70029	70427	+	WP_002288675.1	WP_002288675.1		30S ribosomal protein S8	rpsH	66496330	KU781_RS00355	399	132	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	70459	70995	+					rplF	66496331	KU781_RS00360	537		old_locus_tag=KU781_00360
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	70459	70995	+	WP_002309839.1	WP_002309839.1		50S ribosomal protein L6	rplF	66496331	KU781_RS00360	537	178	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	71156	71512	+					rplR	66496332	KU781_RS00365	357		old_locus_tag=KU781_00365
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	71156	71512	+	WP_002288679.1	WP_002288679.1		50S ribosomal protein L18	rplR	66496332	KU781_RS00365	357	118	
gene	protein_coding	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	71533	72033	+					rpsE	66496333	KU781_RS00370	501		old_locus_tag=KU781_00370
CDS	with_protein	GCF_019343125.1	Primary Assembly	chromosome		NZ_CP079880.1	71533	72033	+	WP_002288681.1	WP_002288681.1		30S ribosomal protein S5	rpsE	66496333	KU781_RS00370	501	166	
