# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	15691	16557	+						67038512	J9537_RS00070	867		old_locus_tag=J9537_00070
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	15691	16557	+	WP_218256264.1	WP_218256264.1		DegV family protein		67038512	J9537_RS00070	867	288	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	16596	17489	-						67038513	J9537_RS00075	894		old_locus_tag=J9537_00075
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	16596	17489	-	WP_218256265.1	WP_218256265.1		LysR substrate-binding domain-containing protein		67038513	J9537_RS00075	894	297	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	17612	19252	+						67038514	J9537_RS00080	1641		old_locus_tag=J9537_00080
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	17612	19252	+	WP_218256266.1	WP_218256266.1		NAD-dependent malic enzyme		67038514	J9537_RS00080	1641	546	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	19305	20270	+						67038515	J9537_RS00085	966		old_locus_tag=J9537_00085
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	19305	20270	+	WP_010747404.1	WP_010747404.1		AEC family transporter		67038515	J9537_RS00085	966	321	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	20312	21931	-						67038516	J9537_RS00090	1620		old_locus_tag=J9537_00090
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	20312	21931	-	WP_218256267.1	WP_218256267.1		ATP-binding cassette domain-containing protein		67038516	J9537_RS00090	1620	539	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	22071	22448	+						67038517	J9537_RS00095	378		old_locus_tag=J9537_00095
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	22071	22448	+	WP_245001262.1	WP_245001262.1		PTS mannose/fructose/sorbose family IIA subunit		67038517	J9537_RS00095	378	125	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	22541	24262	-					spxB	67038518	J9537_RS00100	1722		old_locus_tag=J9537_00100
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	22541	24262	-	WP_218256269.1	WP_218256269.1		pyruvate oxidase	spxB	67038518	J9537_RS00100	1722	573	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	24515	25333	+						67038519	J9537_RS00105	819		old_locus_tag=J9537_00105
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	24515	25333	+	WP_218256270.1	WP_218256270.1		ZIP family metal transporter		67038519	J9537_RS00105	819	272	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	25381	25575	-						67038520	J9537_RS00110	195		old_locus_tag=J9537_00110
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	25381	25575	-	WP_218256271.1	WP_218256271.1		hypothetical protein		67038520	J9537_RS00110	195	64	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	25742	26314	+						67038521	J9537_RS00115	573		old_locus_tag=J9537_00115
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	25742	26314	+	WP_218256272.1	WP_218256272.1		TMEM175 family protein		67038521	J9537_RS00115	573	190	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	26481	27101	-						67038522	J9537_RS00120	621		old_locus_tag=J9537_00120
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	26481	27101	-	WP_218256273.1	WP_218256273.1		DUF2922 family protein		67038522	J9537_RS00120	621	206	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	27147	27530	-						67038523	J9537_RS00125	384		old_locus_tag=J9537_00125
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	27147	27530	-	WP_218256274.1	WP_218256274.1		hypothetical protein		67038523	J9537_RS00125	384	127	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	27972	28649	+						67038524	J9537_RS00130	678		old_locus_tag=J9537_00130
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	27972	28649	+	WP_218256275.1	WP_218256275.1		HAD-IA family hydrolase		67038524	J9537_RS00130	678	225	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	28642	29049	+						67038525	J9537_RS00135	408		old_locus_tag=J9537_00135
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	28642	29049	+	WP_218256276.1	WP_218256276.1		DUF4809 family protein		67038525	J9537_RS00135	408	135	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	29413	31488	+						67038526	J9537_RS00140	2076		old_locus_tag=J9537_00140
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	29413	31488	+	WP_218257297.1	WP_218257297.1		BglG family transcription antiterminator		67038526	J9537_RS00140	2076	691	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	31488	31961	+						67038527	J9537_RS00145	474		old_locus_tag=J9537_00145
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	31488	31961	+	WP_218256277.1	WP_218256277.1		PTS sugar transporter subunit IIA		67038527	J9537_RS00145	474	157	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	31981	32271	+						67038528	J9537_RS00150	291		old_locus_tag=J9537_00150
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	31981	32271	+	WP_010747390.1	WP_010747390.1		PTS sugar transporter subunit IIB		67038528	J9537_RS00150	291	96	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	32416	33684	+						67038529	J9537_RS00155	1269		old_locus_tag=J9537_00155
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	32416	33684	+	WP_218256278.1	WP_218256278.1		PTS galactitol transporter subunit IIC		67038529	J9537_RS00155	1269	422	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	33698	34756	+						67038530	J9537_RS00160	1059		old_locus_tag=J9537_00160
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	33698	34756	+	WP_218256279.1	WP_218256279.1		zinc-binding dehydrogenase		67038530	J9537_RS00160	1059	352	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	34892	36982	+						67038531	J9537_RS00165	2091		old_locus_tag=J9537_00165
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	34892	36982	+	WP_218256280.1	WP_218256280.1		BglG family transcription antiterminator		67038531	J9537_RS00165	2091	696	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	37212	37670	+						67038532	J9537_RS00170	459		old_locus_tag=J9537_00170
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	37212	37670	+	WP_218256281.1	WP_218256281.1		PTS sugar transporter subunit IIA		67038532	J9537_RS00170	459	152	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	37696	37998	+						67038533	J9537_RS00175	303		old_locus_tag=J9537_00175
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	37696	37998	+	WP_010747385.1	WP_010747385.1		hypothetical protein		67038533	J9537_RS00175	303	100	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	38323	39744	+						67038534	J9537_RS00180	1422		old_locus_tag=J9537_00180
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	38323	39744	+	WP_218256282.1	WP_218256282.1		PTS galactitol transporter subunit IIC		67038534	J9537_RS00180	1422	473	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	39766	40827	+						67038535	J9537_RS00185	1062		old_locus_tag=J9537_00185
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	39766	40827	+	WP_010747383.1	WP_010747383.1		galactitol-1-phosphate 5-dehydrogenase		67038535	J9537_RS00185	1062	353	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	40843	41538	+						67038536	J9537_RS00190	696		old_locus_tag=J9537_00190
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	40843	41538	+	WP_010747382.1	WP_010747382.1		L-ribulose-5-phosphate 4-epimerase		67038536	J9537_RS00190	696	231	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	41564	41746	+						67038537	J9537_RS00195	183		old_locus_tag=J9537_00195
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	41564	41746	+	WP_218256283.1	WP_218256283.1		hypothetical protein		67038537	J9537_RS00195	183	60	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	41772	42617	+					rhaD	67038538	J9537_RS00200	846		old_locus_tag=J9537_00200
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	41772	42617	+	WP_218256284.1	WP_218256284.1		rhamnulose-1-phosphate aldolase	rhaD	67038538	J9537_RS00200	846	281	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	42610	43635	+						67038539	J9537_RS00205	1026		old_locus_tag=J9537_00205
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	42610	43635	+	WP_218256285.1	WP_218256285.1		NAD(P)-binding domain-containing protein		67038539	J9537_RS00205	1026	341	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	43776	44576	+						67038540	J9537_RS00210	801		old_locus_tag=J9537_00210
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	43776	44576	+	WP_218256286.1	WP_218256286.1		SDR family oxidoreductase		67038540	J9537_RS00210	801	266	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	44596	46437	+						67038541	J9537_RS00215	1842		old_locus_tag=J9537_00215
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	44596	46437	+	WP_218256287.1	WP_218256287.1		helix-turn-helix domain-containing protein		67038541	J9537_RS00215	1842	613	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	46470	46955	+						67038542	J9537_RS00220	486		old_locus_tag=J9537_00220
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	46470	46955	+	WP_218256288.1	WP_218256288.1		transcriptional regulator GutM		67038542	J9537_RS00220	486	161	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	46971	47531	+						67038543	J9537_RS00225	561		old_locus_tag=J9537_00225
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	46971	47531	+	WP_010747375.1	WP_010747375.1		PTS glucitol/sorbitol transporter subunit IIC		67038543	J9537_RS00225	561	186	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	47741	48745	+						67038544	J9537_RS00230	1005		old_locus_tag=J9537_00230
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	47741	48745	+	WP_218256289.1	WP_218256289.1		PTS glucitol/sorbitol transporter subunit IIB		67038544	J9537_RS00230	1005	334	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	48767	49120	+						67038545	J9537_RS00235	354		old_locus_tag=J9537_00235
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	48767	49120	+	WP_010747373.1	WP_010747373.1		PTS glucitol/sorbitol transporter subunit IIA		67038545	J9537_RS00235	354	117	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	49415	50650	+					mtnK	67038546	J9537_RS00240	1236		old_locus_tag=J9537_00240
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	49415	50650	+	WP_218256290.1	WP_218256290.1		S-methyl-5-thioribose kinase	mtnK	67038546	J9537_RS00240	1236	411	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	50654	51718	+						67038547	J9537_RS00245	1065		old_locus_tag=J9537_00245
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	50654	51718	+	WP_245001263.1	WP_245001263.1		s-methyl-5-thioribose-1-phosphate isomerase		67038547	J9537_RS00245	1065	354	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	51731	52372	+						67038548	J9537_RS00250	642		old_locus_tag=J9537_00250
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	51731	52372	+	WP_218256292.1	WP_218256292.1		L-fuculose-phosphate aldolase		67038548	J9537_RS00250	642	213	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	52897	54147	+						67038549	J9537_RS00255	1251		old_locus_tag=J9537_00255
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	52897	54147	+	WP_010747369.1	WP_010747369.1		SAF domain-containing protein		67038549	J9537_RS00255	1251	416	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	54203	54580	+						67038550	J9537_RS00260	378		old_locus_tag=J9537_00260
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	54203	54580	+	WP_218256293.1	WP_218256293.1		transcriptional regulator GutM		67038550	J9537_RS00260	378	125	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	54596	55129	+						67038551	J9537_RS00265	534		old_locus_tag=J9537_00265
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	54596	55129	+	WP_218256294.1	WP_218256294.1		PTS glucitol/sorbitol transporter subunit IIC		67038551	J9537_RS00265	534	177	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	55143	56207	+						67038552	J9537_RS00270	1065		old_locus_tag=J9537_00270
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	55143	56207	+	WP_218256295.1	WP_218256295.1		PTS glucitol/sorbitol transporter subunit IIB		67038552	J9537_RS00270	1065	354	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	56236	56589	+						67038553	J9537_RS00275	354		old_locus_tag=J9537_00275
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	56236	56589	+	WP_218256296.1	WP_218256296.1		PTS glucitol/sorbitol transporter subunit IIA		67038553	J9537_RS00275	354	117	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	56833	57795	+						67038554	J9537_RS00280	963		old_locus_tag=J9537_00280
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	56833	57795	+	WP_010747364.1	WP_010747364.1		winged helix-turn-helix transcriptional regulator		67038554	J9537_RS00280	963	320	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	57828	58754	-						67038555	J9537_RS00285	927		old_locus_tag=J9537_00285
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	57828	58754	-	WP_218256297.1	WP_218256297.1		alpha/beta hydrolase		67038555	J9537_RS00285	927	308	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	58982	59974	+						67038556	J9537_RS00290	993		old_locus_tag=J9537_00290
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	58982	59974	+	WP_218256298.1	WP_218256298.1		substrate-binding domain-containing protein		67038556	J9537_RS00290	993	330	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	60083	60988	+					rbsK	67038557	J9537_RS00295	906		old_locus_tag=J9537_00295
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	60083	60988	+	WP_218256299.1	WP_218256299.1		ribokinase	rbsK	67038557	J9537_RS00295	906	301	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	61005	61400	+					rbsD	67038558	J9537_RS00300	396		old_locus_tag=J9537_00300
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	61005	61400	+	WP_010747360.1	WP_010747360.1		D-ribose pyranase	rbsD	67038558	J9537_RS00300	396	131	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	61425	62312	+						67038559	J9537_RS00305	888		old_locus_tag=J9537_00305
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	61425	62312	+	WP_218256300.1	WP_218256300.1		GRP family sugar transporter		67038559	J9537_RS00305	888	295	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	62472	62873	+						67038560	J9537_RS00310	402		old_locus_tag=J9537_00310
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	62472	62873	+	WP_218256301.1	WP_218256301.1		hypothetical protein		67038560	J9537_RS00310	402	133	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	62933	63235	+						67038561	J9537_RS00315	303		old_locus_tag=J9537_00315
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	62933	63235	+	WP_010747357.1	WP_010747357.1		DUF5960 family protein		67038561	J9537_RS00315	303	100	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	63428	63757	+						67038562	J9537_RS00320	330		old_locus_tag=J9537_00320
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	63428	63757	+	WP_218256302.1	WP_218256302.1		hypothetical protein		67038562	J9537_RS00320	330	109	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	63767	64081	+						67038563	J9537_RS00325	315		old_locus_tag=J9537_00325
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	63767	64081	+	WP_218256303.1	WP_218256303.1		hypothetical protein		67038563	J9537_RS00325	315	104	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	64239	64568	+						67038564	J9537_RS00330	330		old_locus_tag=J9537_00330
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	64239	64568	+	WP_010747354.1	WP_010747354.1		PTS lactose/cellobiose transporter subunit IIA		67038564	J9537_RS00330	330	109	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	64568	65962	+						67038565	J9537_RS00335	1395		old_locus_tag=J9537_00335
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	64568	65962	+	WP_010747353.1	WP_010747353.1		glycoside hydrolase family 1 protein		67038565	J9537_RS00335	1395	464	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	66006	66296	+						67038566	J9537_RS00340	291		old_locus_tag=J9537_00340
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	66006	66296	+	WP_028020403.1	WP_028020403.1		PTS sugar transporter subunit IIB		67038566	J9537_RS00340	291	96	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	66303	67607	+						67038567	J9537_RS00345	1305		old_locus_tag=J9537_00345
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	66303	67607	+	WP_218256304.1	WP_218256304.1		PTS sugar transporter subunit IIC		67038567	J9537_RS00345	1305	434	
gene	pseudogene	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	67691	68756	+						71776596	J9537_RS20555	1066		partial;pseudo
CDS	without_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	67691	68756	+				transcription antiterminator		71776596	J9537_RS20555	1066		partial;pseudo
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	68973	69548	+						71776597	J9537_RS20560	576		
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	68973	69548	+	WP_245001319.1	WP_245001319.1		PTS sugar transporter subunit IIA		71776597	J9537_RS20560	576	191	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	69606	70781	-						67038569	J9537_RS00355	1176		old_locus_tag=J9537_00355
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	69606	70781	-	WP_218256305.1	WP_218256305.1		NupC/NupG family nucleoside CNT transporter		67038569	J9537_RS00355	1176	391	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	71252	71890	+						67038570	J9537_RS00360	639		old_locus_tag=J9537_00360
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	71252	71890	+	WP_010747348.1	WP_010747348.1		GntR family transcriptional regulator		67038570	J9537_RS00360	639	212	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	72112	73311	+						67038571	J9537_RS00365	1200		old_locus_tag=J9537_00365
CDS	with_protein	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	72112	73311	+	WP_010747347.1	WP_010747347.1		glycine betaine/L-proline ABC transporter ATP-binding protein		67038571	J9537_RS00365	1200	399	
gene	protein_coding	GCF_019175485.1	Primary Assembly	chromosome		NZ_CP072888.1	73304	75028	+						67038572	J9537_RS00370	1725		old_locus_tag=J9537_00370
